"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='11.992mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='23.984mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='35.976mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='47.968mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='59.958mm'","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1.97,-13.0598561275659,-9.64699879123299,-10.6910521016913,-18.5866400071977,-18.1678056482452,-0.220171328371822
1.98,-13.0253431788028,-9.63765089681168,-10.7413343652971,-18.9371528418343,-17.7736234990298,-0.221973642446561
1.99,-12.991115584603,-9.62871412551616,-10.792914195358,-19.3048376182051,-17.3999372383512,-0.22377600433578
2,-12.9571713996082,-9.62018758137239,-10.8458114533488,-19.6912232643858,-17.0450379294754,-0.225578274032527
2.01,-12.9235086746085,-9.61207041301383,-10.9000466733834,-20.0980617644653,-16.7074319383524,-0.227380313004749
2.02,-12.8901254541948,-9.60436181120242,-10.9556410856594,-20.5273739211371,-16.3858060589912,-0.229181984379327
2.03,-12.8570197744724,-9.5970610063763,-11.0126166412643,-20.9815074902395,-16.0789994301912,-0.230983153128163
2.04,-12.8241896608391,-9.59016726623093,-11.0709960384356,-21.4632119307792,-15.7859807168941,-0.232783686256103
2.05,-12.7916331258327,-9.58367989334046,-11.1308027503726,-21.9757358155988,-15.5058294154077,-0.234583452990075
2.06,-12.759348167053,-9.57759822282574,-11.19206105471,-22.5229556804247,-15.2377204200854,-0.236382324968992
2.07,-12.7273327651621,-9.57192162007557,-11.2547960647678,-23.1095493312925,-14.9809111923674,-0.238180176433915
2.08,-12.695584881967,-9.56664947852745,-11.3190337627028,-23.741233390711,-14.7347310234151,-0.239976884418049
2.09,-12.6641024585907,-9.56178121751392,-11.3848010346992,-24.4250959586133,-14.4985719939326,-0.241772328935834
2.1,-12.6328834137338,-9.55731628018055,-11.4521257083432,-25.17007409755,-14.2718813196445,-0.24356639317077
2.11,-12.6019256420328,-9.5532541314813,-11.5210365923419,-25.9876590778414,-14.0541548356151,-0.245358963661361
2.12,-12.5712270125191,-9.54959425625682,-11.5915635187594,-26.8929736310815,-13.844931422386,-0.247149930484493
2.13,-12.5407853671824,-9.54633615740102,-11.6637373879563,-27.9064847582738,-13.6437882155472,-0.24893918743583
2.14,-12.5105985196425,-9.5434793541211,-11.7375902164364,-29.0568629873018,-13.4503364705647,-0.250726632206518
2.15,-12.4806642539351,-9.54102338029588,-11.813155187822,-30.3860533040026,-13.2642179784889,-0.252512166555592
2.16,-12.4509803234135,-9.53896778293701,-11.8904667071977,-31.9589929657644,-13.0851019470504,-0.254295696477567
2.17,-12.4215444497717,-9.53731212075745,-11.9695604590847,-33.8842581311447,-12.9126822767227,-0.256077132364465
2.18,-12.3923543221918,-9.53605596285148,-12.050473469331,-36.3647952261179,-12.7466751734475,-0.257856389161749
2.19,-12.3634075966194,-9.53519888748977,-12.133244171229,-39.8539515389466,-12.5868170495067,-0.259633386517543
2.2,-12.3347018951712,-9.53474048103334,-12.2179124762003,-45.7821844102738,-12.4328626719813,-0.261408048924427
2.21,-12.3062348056764,-9.53468033696958,-12.3045198494206,-79.3830940823915,-12.284583524739,-0.263180305853342
2.22,-12.2780038813567,-9.53501805507331,-12.3931093907901,-46.1523349214523,-12.1417663552282,-0.264950091878768
2.23,-12.2500066406472,-9.5357532406956,-12.4837259216983,-40.0388745994877,-12.0042118817609,-0.26671734679482
2.24,-12.2222405671599,-9.53688550418286,-12.5764160780706,-36.4879310354937,-11.8717336406167,-0.268482015721392
2.25,-12.1947031097945,-9.5384144604282,-12.6712284102355,-33.9764620348322,-11.7441569553365,-0.270244049199994
2.26,-12.1673916829959,-9.54033972855702,-12.7682134902057,-32.0326092304248,-11.6213180131173,-0.272003403278517
2.27,-12.140303667163,-9.54266093174845,-12.8674240270228,-30.4472569544655,-11.5030630353463,-0.273760039584439
2.28,-12.1134364092088,-9.5453776971938,-12.9689149908873,-29.1091857395558,-11.3892475311113,-0.275513925385873
2.29,-12.0867872232736,-9.5484896561932,-13.0727437468661,-27.9521371888817,-11.2797356240386,-0.277265033639971
2.3,-12.0603533915932,-9.55199644439114,-13.1789701990584,-26.9334327904854,-11.174399444101,-0.279013343028057
2.31,-12.0341321655225,-9.55589770215136,-13.2876569461925,-26.0239622876989,-11.0731185771291,-0.280758837977105
2.32,-12.0081207667141,-9.56019307507144,-13.3988694497345,-25.2029791966767,-10.9757795657002,-0.282501508666968
2.33,-11.9823163884539,-9.56488221463706,-13.5126762157091,-24.4551747732296,-10.8822754558764,-0.284241351022973
2.34,-11.9567161971529,-9.5699647790156,-13.6291489915691,-23.7689292481586,-10.7925053849544,-0.285978366693417
2.35,-11.9313173339938,-9.57544043398876,-13.7483629796048,-23.1352140266517,-10.7063742059811,-0.287712563011526
2.36,-11.9061169167332,-9.58130885402339,-13.8703970685564,-22.5468741143318,-10.6237921453025,-0.289443952941582
2.37,-11.8811120416575,-9.5875697234797,-13.9953340852938,-21.9981429260191,-10.5446744898568,-0.291172555008821
2.38,-11.8562997856906,-9.59422273795564,-14.1232610686511,-21.4843046379809,-10.4689413013074,-0.292898393212678
2.39,-11.8316772086531,-9.60126760576622,-14.2542695677623,-21.0014533167114,-10.3965171544478,-0.294621496923361
2.4,-11.8072413556686,-9.60870404955628,-14.3884559675378,-20.5463173359607,-10.3273308976017,-0.296341900761259
2.41,-11.7829892597163,-9.616531808045,-14.5259218442609,-20.116128934311,-10.2613154329996,-0.298059644459063
2.42,-11.7589179443261,-9.62475063790026,-14.666774354668,-19.7085256659043,-10.1984075153347,-0.299774772706491
2.43,-11.7350244264134,-9.63336031574104,-14.811126662327,-19.3214748218798,-10.1385475669013,-0.301487334977421
2.44,-11.7113057192484,-9.64236064026552,-14.9590984056404,-18.9532146829856,-10.0816795078882,-0.303197385339295
2.45,-11.687758835558,-9.65175143450274,-15.1108162124014,-18.6022082969189,-10.0277506005577,-0.30490498224493
2.46,-11.6643807907534,-9.66153254818533,-15.26641426652,-18.2671067070488,-9.97671130617151,-0.306610188306506
2.47,-11.6411686062809,-9.67170386024095,-15.4260349333492,-17.9467194045608,-9.9285151536475,-0.30831307005199
2.48,-11.6181193130873,-9.68226528139966,-15.5898294509814,-17.6399903656998,-9.88311861903666,-0.310013697663878
2.49,-11.5952299551982,-9.69321675691456,-15.7579586959919,-17.3459784535683,-9.84048101500498,-0.311712144700657
2.5,-11.5724975933993,-9.70455826939299,-15.9305940334054,-17.0638412642207,-9.80056438958902,-0.313408487800846
2.51,-11.5499193090169,-9.71628984173536,-16.1079182621954,-16.7928217155127,-9.76333343356959,-0.315102806370159
2.52,-11.5274922077891,-9.72841154017858,-16.2901266694354,-16.5322368384136,-9.72875539587607,-0.316795182251884
2.53,-11.505213423821,-9.74092347744124,-16.4774282083789,-16.2814683507274,-9.69680000649434,-0.318485699380905
2.54,-11.4830801236168,-9.75382581596737,-16.6700468183104,-16.0399546837625,-9.66743940640657,-0.320174443421653
2.55,-11.4610895101798,-9.76711877126583,-16.8682229070814,-15.8071842014226,-9.6406480841406,-0.321861501390614
2.56,-11.4392388271727,-9.78080261534195,-17.0722150209414,-15.5826894041127,-9.61640281855178,-0.323546961263552
2.57,-11.4175253631297,-9.79487768021849,-17.2823017307295,-15.3660419508427,-9.59468262750101,-0.325230911568452
2.58,-11.3959464557102,-9.80934436154263,-17.4987837689002,-15.1568483648955,-9.57546872213079,-0.326913440964273
2.59,-11.3744994959869,-9.82420312227572,-17.7219864584434,-14.9547463135861,-9.55874446647478,-0.328594637806502
2.6,-11.3531819327564,-9.83945449646271,-17.9522624828235,-14.759401372564,-9.54449534216928,-0.330274589700074
2.61,-11.331991276865,-9.85509909307785,-18.189995055996,-14.5705042009903,-9.53270891806376,-0.331953383040341
2.62,-11.3109251055373,-9.87113759994356,-18.4356015638477,-14.3877680666704,-9.52337482455617,-0.333631102543077
2.63,-11.2899810666983,-9.8875707877192,-18.6895377637186,-14.2109266705023,-9.51648473250395,-0.335307830764036
2.64,-11.2691568832794,-9.90439951395641,-18.9523026478388,-14.0397322279515,-9.5120323365876,-0.336983647609298
2.65,-11.2484503574955,-9.92162472721792,-19.2244441007063,-13.873953772071,-9.51001334302629,-0.338658629837099
2.66,-11.2278593750849,-9.93924747125649,-19.5065655111532,-13.7133756481711,-9.51042546156876,-0.340332850552175
2.67,-11.207381909498,-9.95726888925085,-19.7993335391591,-13.5577961748455,-9.51326840170471,-0.342006378693768
2.68,-11.1870160260269,-9.97569022809548,-20.1034872881653,-13.4070264498697,-9.51854387306389,-0.343679278518104
2.69,-11.1667598858618,-9.99451284274084,-20.4198491995759,-13.2608892826566,-9.52625558999198,-0.345351609076765
2.7,-11.1466117500654,-10.0137382005811,-20.7493380726517,-13.1192182375971,-9.53640928031445,-0.347023423691828
2.71,-11.1265699834515,-10.0333678858864,-21.0929847276378,-12.9818567748319,-9.54901269832129,-0.348694769429175
2.72,-11.1066330583589,-10.0534036042755,-21.4519509834318,-12.8486574768666,-9.56407564202881,-0.350365686571001
2.73,-11.0867995583075,-10.0738471872275,-21.8275528288508,-12.7194813510161,-9.58160997479756,-0.352036208088998
2.74,-11.0670681815266,-10.094700596628,-22.2212889511961,-12.5941971990026,-9.60162965141012,-0.353706359119287
2.75,-11.0474377443429,-10.115965929347,-22.6348761809214,-12.4726810461641,-9.62415074873801,-0.355376156440624
2.76,-11.0279071844188,-10.1376454218459,-23.0702939674751,-12.3548156237027,-9.64919150115381,-0.357045607957087
2.77,-11.0084755638288,-10.1597414548106,-23.529840796767,-12.2404898982272,-9.67677234087349,-0.358714712186686
2.78,-10.9891420719637,-10.1822565578071,-24.016206617414,-12.1295986435607,-9.70691594344467,-0.360383457757353
2.79,-10.9699060282521,-10.2051934139572,-24.5325670568059,-12.0220420503933,-9.73964727862956,-0.362051822911599
2.8,-10.9507668846892,-10.2285548646312,-25.0827078004795,-11.917725369891,-9.77499366696731,-0.363719775021475
2.81,-10.9317242281624,-10.2523439141547,-25.6711915208597,-11.8165585878286,-9.81298484233931,-0.365387270115086
2.82,-10.9127777825642,-10.2765637345266,-26.3035861140276,-11.7184561262138,-9.85365302090378,-0.367054252416369
2.83,-10.8939274106834,-10.3012176701459,-26.9867834221791,-11.623336569712,-9.89703297681224,-0.368720653899389
2.84,-10.875173115865,-10.3263092425431,-27.7294552264394,-11.5311224144874,-9.94316212517211,-0.370386393858846
2.85,-10.8565150434303,-10.3518421551156,-28.5427241993973,-11.4417398373351,-9.99208061277618,-0.372051378498166
2.86,-10.83795348185,-10.3778202978626,-29.441184196364,-11.3551184832132,-10.0438314171819,-0.373715500536782
2.87,-10.8194888636605,-10.4042477521176,-30.444513788832,-11.2711912694856,-10.0984604547936,-0.375378638837984
2.88,-10.8011217661187,-10.4311287952756,-31.5801520920437,-11.1898942053635,-10.1560166986778,-0.377040658058947
2.89,-10.7828529115865,-10.4584679055124,-32.8880051973819,-11.1111662251929,-10.216552306927,-0.378701408324387
