"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='11.992mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='23.984mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='35.976mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='47.968mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='59.96mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='71.952mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='83.944mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='95.936mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='107.928mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='119.92mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='131.912mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='143.904mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='155.892mm'"
3.05,-30.4600991476429,-48.5681652597346,-66.8876791321786,-85.0628979949717,-103.214181919063,-121.275885251585,-139.294703841463,-157.786770516467,-176.020171323602,165.842981347173,147.696374410687,129.508346059353,111.434576159439
3.06,-32.91709862736,-51.0845635921181,-69.4655940504498,-87.6995352050913,-105.909609397696,-124.03027736606,-142.105147973282,-160.660498869651,-178.955661464914,162.84939533178,144.643882982267,126.394977793102,108.266798072624
3.07,-35.3739754438843,-53.6008841176845,-72.0435002957215,-90.3361328970485,-108.604972021961,-126.784603002621,-144.915874372206,-163.534224428714,178.108722619702,159.855890593998,141.59141584289,123.281724983513,105.099193678699
3.08,-37.8307288978611,-56.1171214016452,-74.6213970753908,-92.97269179233,-111.300269795334,-129.53885941578,-147.726763537668,-166.407951040917,175.173068168015,156.862466604768,138.538970587976,120.168597962288,101.931753669876
3.09,-40.2873587096815,-58.6332699539421,-77.1992834439175,-95.6092126256006,-113.995502788036,-132.29304379104,-150.537711109688,-169.281682888435,172.23744851229,153.869122805931,135.486544943533,117.055606714604,98.7644665515853
3.1,-42.7438650299852,-61.1493242561155,-79.7771583008035,-98.2456961400955,-116.690671138247,-135.047153248652,-153.348627093637,-172.155424396911,169.301924040509,150.875858612891,132.434136784439,113.942760871321,95.5973188874668
3.11,-45.2002484477071,-63.6652787891255,-82.3550203892745,-100.882143082827,-119.385775053122,-137.80118484762,-156.15943505507,-175.029180153836,166.366543171301,147.882673414615,129.381744152215,110.830069692843,92.4302955428797
3.12,-47.6565099955539,-66.1811280619899,-84.9328682956878,-103.518554199613,-122.080814809595,-140.555135589967,-158.970071290881,-177.90295483612,163.431343335531,144.8895665715,126.329365272195,107.717542045732,89.2633799266492
3.13,-50.1126511528076,-68.6968666410926,-87.5107004496881,-106.154930229951,-124.77579075496,-143.309002425234,-161.78048398286,179.223246853806,160.496351957715,141.896537411578,123.276998569964,104.605186373173,86.0965542306975
3.14,-52.5686738453728,-71.2124891800122,-90.0885151251344,-108.791271901747,-127.470703307213,-146.062782255244,-164.590632339533,176.349420243994,157.561587430854,138.903585225525,120.224642686966,101.493010660369,82.9297996671658
