"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) []","mag(S(FloquetPort2:1,FloquetPort1:1)) []"
3.54,0.00636572988642057,0.999979239468023
3.55,0.00640285284223624,0.999978994807497
3.56,0.00643668132672854,0.999978769646602
3.57,0.00646764712412742,0.999978561305821
3.58,0.00649623908712666,0.999978366646907
3.59,0.006523004406179,0.99997818207463
3.6,0.00654854919386548,0.999978003542377
3.61,0.00657353820673423,0.999977826561623
3.62,0.0065986935116125,0.999977646215272
3.63,0.00662479189526653,0.999977457174808
3.64,0.00665266081916233,0.999977253721225
3.65,0.00668317273908378,0.999977029769646
3.66,0.00671723764650252,0.999976778897578
3.67,0.00675579374806646,0.999976494376686
3.68,0.00679979628284042,0.99997616920802
3.69,0.00685020458270026,0.999975796160601
3.7,0.0069079676045906,0.99997536781326
3.71,0.00697400829508144,0.999974876599651
3.72,0.0070492072747335,0.999974314856314
3.73,0.00713438643640568,0.999973674873718
3.74,0.0072302931214829,0.999972948950121
3.75,0.00733758555717745,0.999972129448152
3.76,0.0074568201981913,0.999971208853951
3.77,0.00758844151669953,0.999970179838697
3.78,0.00773277463430757,0.999969035322322
3.79,0.00789002100480064,0.999967768539187
3.8,0.00806025715879534,0.999966373105451
3.81,0.00824343633374975,0.999964843087833
3.82,0.00843939265530115,0.99996317307342
3.83,0.00864784742265629,0.99996135824013
3.84,0.00886841698814175,0.999959394427404
3.85,0.00910062170782312,0.999957278206652
3.86,0.00934389546904955,0.999955006950923
3.87,0.00959759536087763,0.999952578903242
3.88,0.00986101113232289,0.999949993243013
3.89,0.0101333741698143,0.999947250149833
3.9,0.0104138658097627,0.999944350864071
3.91,0.0107016248782273,0.999941297743472
3.92,0.0109957544134414,0.999938094315091
3.93,0.0112953275769458,0.999934745321814
3.94,0.0115993927955408,0.999931256762695
3.95,0.0119069782005658,0.999927635926383
3.96,0.0122170954451404,0.999923891416888
3.97,0.0125287429860925,0.999920033170947
3.98,0.012840908917413,0.999916072466297
3.99,0.0131525734380298,0.999912021920191
4,0.0134627110299659,0.999907895477517
4.01,0.0137702924146968,0.999903708387947
4.02,0.014074286346622,0.999899477171606
4.03,0.01437366129361,0.999895219572838
4.04,0.0146673870459861,0.999890954501648
4.05,0.0149544362873483,0.999886701962636
4.06,0.0152337861533727,0.999882482971142
4.07,0.0155044197983618,0.999878319456612
4.08,0.0157653279837166,0.999874234153168
4.09,0.0160155106977653,0.999870250477539
4.1,0.0162539788124143,0.999866392394645
4.11,0.0164797557788773,0.999862684271193
4.12,0.0166918793622314,0.999859150717824
4.13,0.016889403412724,0.999855816420455
4.14,0.0170713996705603,0.999852705961575
4.15,0.0172369596003303,0.999849843632414
