"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='10'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='10'"
2.03,0.171184181133825,0.267980524043372,0.333407978685607,0.381889870908694,0.42029550713513,0.451647649445378,0.47755831629162,0.499981168865838,0.519687450963952,0.985237085408422,0.96342440255581,0.942782482169133,0.924207974779645,0.907387540583284,0.892196611858297,0.878600021421701,0.866036366658043,0.854356451161908
2.04,0.17116133767074,0.267988261471581,0.333399288021088,0.381901403731663,0.420325385831907,0.451644137653114,0.477535248858369,0.499986372620136,0.519710471975577,0.985240426089423,0.963422281573836,0.94278548564152,0.924203253233661,0.907373794709259,0.89219845453123,0.878612552281193,0.866033388121885,0.854342446528869
2.05,0.171138676574714,0.267996181779001,0.333389993135777,0.381914985167703,0.420355692491214,0.451638741710703,0.477513552385604,0.499993151410574,0.519732546140624,0.985243762500532,0.96342011303464,0.942788696425327,0.924197682409908,0.907359851754419,0.892201244198499,0.87862433974243,0.866029496279694,0.854329017513808
2.06,0.171116277322366,0.268004241455141,0.333380142813733,0.381930633305074,0.420386158217729,0.451631485652083,0.477493644506666,0.500001502734775,0.519753247101294,0.985247090053313,0.963417908971706,0.942792098143883,0.92419125382884,0.907345834564203,0.892204967461059,0.878635157159666,0.866024691790532,0.854316423701908
2.07,0.171094221678743,0.268012394639945,0.333369792360569,0.381948348037029,0.420416503438618,0.451622419311757,0.477475936201121,0.50001139950853,0.519772153936048,0.985250403475531,0.963415682024626,0.942795672192405,0.92418396658388,0.907331870799672,0.892209598078516,0.878644781419332,0.86601898969396,0.854304921384751
2.08,0.171072593508208,0.268020593345016,0.333359003385978,0.381968110164174,0.420446440491591,0.451611618662519,0.477460825390321,0.500022789552056,0.519788859288473,0.985253696728927,0.963413445376093,0.942799397793778,0.92417582773726,0.907318091762673,0.892215096826427,0.878652996398628,0.866012419737113,0.854294758596798
2.09,0.171051478572413,0.268028787698148,0.333347843540454,0.381989880636638,0.420475676393533,0.451599185810558,0.477448690448498,0.5000355954688,0.519802977599207,0.98525696293078,0.963411212683086,0.942803252073991,0.92416685265656,0.907304631141988,0.892221411519384,0.878659596473532,0.866005026465304,0.854286170088505
2.1,0.171030964315691,0.268036926210579,0.333336386204948,0.382013599948985,0.420503915766236,0.451585248634978,0.477439883725466,0.50004971493212,0.519814153290394,0.985260194280362,0.963408998002437,0.942807210157337,0.924157065285894,0.907291623691279,0.892228477205752,0.878664390025279,0.865996869065943,0.854279372328794
2.11,0.171011139638218,0.26804495606612,0.333324710131769,0.382039187699962,0.420530863893167,0.451569960063377,0.477434725180661,0.500065021389115,0.519822068746927,0.985263381991389,0.963406815711071,0.942811245281366,0.924146498346112,0.907279203850771,0.892236216537931,0.878667202892203,0.86598802095967,0.854274558632814
2.12,0.170992094657352,0.268052823431215,0.33331289903511,0.382066542328225,0.420556229878689,0.451553496979916,0.477433496230464,0.500081365184614,0.519826451936084,0.985266516231551,0.963404680421214,0.942815328931426,0.924135193458814,0.90726750432555,0.892244540319857,0.878667881712389,0.86597856913674,0.854271894512468
2.13,0.170973920457599,0.268060473784728,0.333301041130018,0.382095541034078,0.420579729878876,0.451536058767328,0.477436433911348,0.500098575101728,0.519827083507378,0.985269586070217,0.963402606890914,0.94281943099444,0.924123201189582,0.907256654634268,0.892253348231247,0.878666297101985,0.865968613241134,0.854271513346995
2.14,0.170956708829699,0.268067852266106,0.333289228619367,0.382126039896081,0.420601090371011,0.451517865489489,0.47744372546033,0.500116460308696,0.51982380321756,0.985272579435351,0.963400609930268,0.942823519931404,0.924110581006354,0.907246779642795,0.892262529725734,0.878662346614234,0.865958264409398,0.854273512468835
2.15,0.170940551999355,0.268074904040368,0.333277557129306,0.382157874189998,0.420620051427045,0.451499155726375,0.477455503411424,0.50013481269492,0.519816515531766,0.985275483080662,0.963398704303784,0.942827562967935,0.924097401149671,0.90723799809798,0.892271965097726,0.878655957425449,0.865947643875733,0.854277949756163
2.16,0.170925542346186,0.268081574678186,0.333266125094627,0.382190858916159,0.420636369954854,0.451480184078435,0.477471841302378,0.500153409572303,0.519805194260813,0.985278282563972,0.963396904629329,0.942831526302023,0.924083738412124,0.907230421177222,0.892281526710396,0.878647088696171,0.865936881359225,0.854284840817753
2.17,0.170911772113504,0.26808781054914,0.333255033096453,0.382224789539659,0.420649822869952,0.451461218362511,0.47749275007983,0.50017201671127,0.519789886106626,0.985280962237703,0.963395225274176,0.942835375327932,0.924069677825265,0.907224151069876,0.892291080374826,0.878635733558697,0.865926113253546,0.85429415684826
2.18,0.170899333109573,0.268093559226063,0.333244383155613,0.382259442946196,0.420660210159605,0.451442536526399,0.477518175283326,0.500190391674367,0.519770713002489,0.985283505252359,0.963393680248668,0.942839074875101,0.924055312252963,0.907219279606703,0.892300486868,0.878621920686055,0.865915480643434,0.854305823222845
2.19,0.170888316401035,0.268098769898217,0.333234277985858,0.38229457861447,0.420667357800929,0.451424423313816,0.477547995079401,0.500208287404059,0.519747873152267,0.985285893573782,0.963392283098087,0.942842589460656,0.924040741891181,0.907215886953685,0.89230960357503,0.878605715402146,0.86590512717598,0.854319718889021
2.2,0.17087881199922,0.268103393790884,0.333224820211883,0.382329940004205,0.420671120494679,0.451407166715957,0.477582019206336,0.500225456015536,0.519721640692603,0.98528810801489,0.963391046793294,0.942845883554019,0.924026073675026,0.907214040386333,0.892318286238836,0.878587220298381,0.865895196818261,0.854335676601255
2.21,0.170870908540112,0.268107384588812,0.333216111557726,0.382365256156818,0.420671384176993,0.451391054249834,0.477619988878322,0.500241652739997,0.519692363924253,0.985290128282511,0.963389983620791,0.942848921851948,0.924011420594816,0.907213793160319,0.892326390798419,0.878566575328382,0.865885831535652,0.85435348402998
2.22,0.17086469295876,0.268110698860814,0.33320825201169,0.382400243503655,0.420668068272448,0.451376369107192,0.477661577684856,0.500256639959152,0.519660462082716,0.985291933039831,0.963389105072825,0.942851669562182,0.923996900924039,0.907215183493911,0.892333775295013,0.878543957359282,0.865877168927689,0.854372885761737
