"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
2.83,-0.719341443291323,-8.16329496120355
2.84,-0.72341929396399,-8.14073204399115
2.85,-0.72777646249634,-8.1167730044502
2.86,-0.73241819587075,-8.09141732586296
2.87,-0.737350143460048,-8.06466441028957
2.88,-0.742578372727567,-8.03651358280852
2.89,-0.748109386093983,-8.00696409591064
2.9,-0.753950138989693,-7.97601513405201
2.91,-0.760108059108729,-7.94366581837306
2.92,-0.766591066876282,-7.9099152115932
2.93,-0.773407597137669,-7.87476232309269
2.94,-0.780566622071338,-7.83820611419652
2.95,-0.788077675322713,-7.80024550367851
2.96,-0.795950877348875,-7.76087937350775
2.97,-0.804196961956276,-7.72010657486487
2.98,-0.812827304005204,-7.67792593446059
2.99,-0.821853948244736,-7.63433626119627
3,-0.831289639231242,-7.58933635321326
3.01,-0.841146087059663,-7.54291203592353
3.02,-0.851434435596352,-7.49509068237245
3.03,-0.862169749449184,-7.44586729498201
3.04,-0.873367793026842,-7.39523785494463
3.05,-0.885045077367209,-7.34319924412254
3.06,-0.897218908995054,-7.28974917418973
3.07,-0.90990744100174,-7.23488612290212
3.08,-0.923129726552294,-7.1786092774176
3.09,-0.936905775038313,-7.1209184846147
3.1,-0.951256611108173,-7.06181420838122
3.11,-0.966204336819222,-7.00129749386006
3.12,-0.981772197170129,-6.93936993865153
3.13,-0.997984649285014,-6.87603367097988
3.14,-1.01486743553499,-6.81129133483686
3.15,-1.03244766089667,-6.74514608211787
3.16,-1.05075387486151,-6.67760157176712
3.17,-1.06981615822484,-6.60866197594729
3.18,-1.08966621509792,-6.53833199324691
3.19,-1.1103374705021,-6.46661686893556
3.2,-1.1318651739199,-6.39352242227274
3.21,-1.15428650919378,-6.31905508087123
3.22,-1.17764071118026,-6.24322192211064
3.23,-1.20196918958417,-6.1660307215898
3.24,-1.22731566041546,-6.0874900086002
3.25,-1.25372628552935,-6.00760912859453
3.26,-1.28124982072963,-5.92639831261552
3.27,-1.3099377729344,-5.84386875363984
3.28,-1.33984456692434,-5.76003268978101
3.29,-1.37102772221445,-5.67490349428069
3.3,-1.40354804061307,-5.58849577220316
3.31,-1.43746980505498,-5.50082546372877
3.32,-1.47286099032052,-5.41190995392124
3.33,-1.50979348627894,-5.32176818881819
3.34,-1.54834333432214,-5.23042079766525
3.35,-1.58859097768599,-5.13789022107923
3.36,-1.63062152638892,-5.04420084488604
3.37,-1.67452503755466,-4.94937913933188
3.38,-1.72039681192616,-4.85345380331241
3.39,-1.76833770742406,-4.75645591320177
3.4,-1.81845447065481,-4.65841907579168
3.41,-1.87086008733428,-4.55937958476904
3.42,-1.92567415266247,-4.45937658006694
3.43,-1.98302326276784,-4.35845220931948
3.44,-2.04304142843774,-4.25665179053199
3.45,-2.10587051246894,-4.15402397494763
3.46,-2.17166069211368,-4.05062090894488
3.47,-2.24057094826777,-3.94649839364064
3.48,-2.31276958325504,-3.84171604069929
3.49,-2.3884347693164,-3.73633742265912
3.5,-2.46775513022064,-3.63043021588591
3.51,-2.55093035879294,-3.52406633405007
3.52,-2.63817187361973,-3.41732204980028
3.53,-2.72970351875544,-3.31027810207767
3.54,-2.82576231094952,-3.2030197862815
3.55,-2.92659923976061,-3.09563702426823
3.56,-3.03248012696096,-2.98822441094455
3.57,-3.14368655290105,-2.8808812340097
3.58,-3.2605168590513,-2.77371146322258
3.59,-3.38328723782502,-2.66682370542421
3.6,-3.51233292309124,-2.56033112144736
3.61,-3.64800949759611,-2.45435130100605
3.62,-3.79069433694243,-2.34900609169108
3.63,-3.94078821396587,-2.24442137831788
3.64,-4.09871709246743,-2.14072680909485
3.65,-4.26493414553157,-2.03805546541743
3.66,-4.43992204135115,-1.93654347255814
3.67,-4.62419554894255,-1.83632954912773
3.68,-4.8183045278124,-1.73755449393356
3.69,-5.02283738010772,-1.64036060976488
3.7,-5.23842506179898,-1.54489106468677
3.71,-5.46574577199819,-1.45128919262135
3.72,-5.70553046792577,-1.359697736319
3.73,-5.9585693890764,-1.27025803725471
3.74,-6.22571982020135,-1.18310917849253
3.75,-6.50791538211108,-1.09838708810842
3.76,-6.80617721656699,-1.0162236123001
3.77,-7.12162753305516,-0.936745568790149
3.78,-7.45550612006423,-0.860073792488094
3.79,-7.80919060459698,-0.786322186555034
3.8,-8.18422148990361,-0.715596792953083
3.81,-8.5823333406749,-0.64799489720138
3.82,-9.00549395890893,-0.583604182351019
3.83,-9.45595406600167,-0.52250194709215
3.84,-9.93631097617579,-0.464754402391062
3.85,-10.4495911699564,-0.410416060112674
3.86,-10.9993588084269,-0.359529225722516
3.87,-11.5898604926984,-0.312123605408887
3.88,-12.226221692574,-0.268216035867054
3.89,-12.9147185223203,-0.227810342605848
3.9,-13.6631622684235,-0.19089733005171
3.91,-14.4814577279236,-0.157454904024542
3.92,-15.3824388800575,-0.127448324438863
3.93,-16.3831653890758,-0.100830583438991
3.94,-17.5070228690157,-0.0775429016997574
3.95,-18.7873102727935,-0.057515333398106
3.96,-20.2737890841166,-0.0406674684547924
3.97,-22.0457183879837,-0.0269092191130692
3.98,-24.2410267924209,-0.0161416767971781
3.99,-27.1337071539217,-0.00825802449303628
4,-31.4045002712878,-0.00314448961388456
4.01,-39.7622810660705,-0.000526196884689081
4.02,-43.4626415851818,-0.000315484245913786
4.03,-32.8815994590414,-0.0023842768209555
4.04,-28.2828632366085,-0.00659894320449298
4.05,-25.3443278242761,-0.0128213485533021
4.06,-23.1983069262217,-0.0209098884590528
4.07,-21.5189532230612,-0.0307204920145628
4.08,-20.1480529863482,-0.0421075832623661
4.09,-18.9966530433371,-0.0549249904100571
4.1,-18.0096903425694,-0.0690267910517744
4.11,-17.1506697307637,-0.0842680772075125
4.12,-16.394133958685,-0.100505611057827
4.13,-15.7216053822725,-0.117598308248754
4.14,-15.1192343171284,-0.135407447733294
4.15,-14.5763371231208,-0.15379824411849
4.16,-14.0842993734143,-0.172971792006009
4.17,-13.636417692508,-0.192184101290896
4.18,-13.2321454515177,-0.211396211003229
4.19,-12.8588313944983,-0.230860135992864
4.2,-12.5169290259557,-0.250332301117323
