"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []","im(Gamma(1:4)) []","im(Gamma(1:6)) []"
5.24,101.52008309284,71.0089436247589,71.0088643018571,57.3355457842835,0
5.25,101.746770426643,71.3326579890239,71.3325790260972,57.7359751927386,0
5.26,101.973384589578,71.6555229426248,71.6554443354891,58.1344020684698,0
5.27,102.199926068384,71.977549915999,71.9774716605514,58.5308673059575,0
5.28,102.426395345337,72.2987501065291,72.2986721987458,58.9254105004269,0
5.29,102.652792898307,72.6191344849942,72.6190569209283,59.3180700042336,0
5.3,102.879119200804,72.9387138017948,72.9386365775746,59.7088829801532,0
5.31,103.105374722032,73.2574985929613,73.2574217047876,60.0978854517794,0
5.32,103.331559926943,73.5754991859547,73.5754226300997,60.4851123512217,0
5.33,103.557675276279,73.8927257052698,73.8926494780746,60.8705975642734,0
5.34,103.783721226627,74.2091880778464,74.2091121757196,61.2543739732165,0
5.35,104.009698230464,74.5248960382988,74.5248204577146,61.6364734974085,0
5.36,104.235606736208,74.8398591339697,74.8397838714663,62.0169271317913,0
5.37,104.46144718826,75.1540867298162,75.154011781994,62.3957649834524,0
5.38,104.687220027056,75.4675880131341,75.4675133766545,62.7730163063529,0
5.39,104.912925689105,75.7803719981284,75.7802976697114,63.148709534338,0
5.4,105.138564607043,76.0924475303324,76.0923735067565,63.522872312529,0
5.41,105.36413720967,76.4038232908874,76.4037495689873,63.8955315271941,0
5.42,105.589643921997,76.7145078006832,76.714434377348,64.2667133341869,0
5.43,105.815085165288,77.0245094243651,77.0244362965381,64.6364431860354,0
5.44,106.040461357103,77.3338363742176,77.3337635388943,65.0047458577583,0
5.45,106.26577291134,77.642496713923,77.6424241681497,65.3716454714811,0
5.46,106.491020238276,77.9504983622037,77.9504261030771,65.7371655199203,0
5.47,106.716203744607,78.2578490963522,78.257777121017,66.101328888797,0
5.48,106.941323833489,78.5645565556509,78.5644848613,66.4641578782396,0
5.49,107.166380904577,78.8706282446883,78.8705568285605,66.8256742232303,0
5.5,107.391375354065,79.1760715365741,79.1760003959537,67.1858991131486,0
5.51,107.616307574725,79.4808936760571,79.4808228082728,67.544853210457,0
5.52,107.84117795594,79.7851017825497,79.7850311849733,67.9025566685769,0
5.53,108.065986883751,80.0887028530619,80.0886325231079,68.2590291489963,0
5.54,108.290734740883,80.3917037650491,80.3916337001729,68.6142898376489,0
5.55,108.515421906791,80.6941112791751,80.6940414768727,68.9683574606019,0
5.56,108.740048757689,80.9959320419951,80.9958624998021,69.3212502990892,0
5.57,108.964615666588,81.2971725885606,81.2971033040511,69.6729862039204,0
5.58,109.189123003333,81.5978393449486,81.5977703157348,70.0235826093005,0
5.59,109.413571134636,81.8979386307191,81.8978698544497,70.3730565460851,0
5.6,109.637960424107,82.1974766613009,82.1974081356612,70.7214246545032,0
5.61,109.862291232294,82.4964595503122,82.4963912730227,71.0687031963704,0
5.62,110.086563916709,82.7948933118138,82.7948252806296,71.4149080668183,0
5.63,110.310778831867,83.0927838624996,83.0927160752098,71.7600548055641,0
5.64,110.534936329315,83.3901370238269,83.3900694782538,72.10415860774,0
5.65,110.759036757663,83.6869585240874,83.6868912180855,72.4472343343057,0
5.66,110.983080462619,83.9832540004204,83.9831869318764,72.7892965220617,5.63241166105917
5.67,111.207067787016,84.2790290007727,84.2789621676039,73.1303593932817,9.02728297626448
5.68,111.430999070847,84.574288985803,84.574222385958,73.4704368649841,11.4606922162063
5.69,111.65487465129,84.8690393307375,84.8689729621942,73.8095425578547,13.4644326112457
5.7,111.878694862742,85.1632853271736,85.163219187939,74.1476898048419,15.2092825714454
5.71,112.102460036848,85.4570321848353,85.4569662729454,74.484891659433,16.7762170485626
5.72,112.326170502526,85.7502850332845,85.7502193468033,74.8211609036308,18.2112188474581
5.73,112.549826586002,86.0430489235834,86.0429834606026,75.1565100556409,19.5433716816387
5.74,112.773428610834,86.3353288299173,86.3352635885552,75.4909513772838,20.7924532653182
5.75,112.996976897941,86.6271296511713,86.6270646295729,75.8244968811421,21.9726352589156
5.76,113.22047176563,86.9184562124688,86.918391408805,76.157158337456,23.0944828688447
5.77,113.443913529625,87.2093132666689,87.2092486791359,76.488947280777,24.1661215147259
