"Freq [GHz]","re(Zo(backport:1)) []","re(Zo(backport:2)) []","re(Zo(backport:3)) []","re(Zo(backport:4)) []","re(Zo(backport:6)) []"
5.86,247.205766737695,1268.7886826011,317.639521524137,224.537095573244,392.043523771462
5.87,247.15039672537,1266.91355798975,317.17008556155,224.007662343882,383.388429471615
5.88,247.095345878252,1265.05621819198,316.705102017606,223.484626966196,375.322395671012
5.89,247.040611677782,1263.21641342467,316.244508359207,222.967872375675,367.782345241051
5.9,246.986191630844,1261.39389862675,315.78824323535,222.457284130973,360.71425052718
5.91,246.932083269455,1259.58843334625,315.336246448946,221.952750676098,354.071530067862
5.92,246.878284150448,1257.79978163079,314.88845892938,221.454163506778,347.813781012432
5.93,246.824791855172,1256.0277119213,314.444822705898,220.961416139901,341.905763533544
5.94,246.771603989181,1254.27199694868,314.005280881737,220.474405299719,336.316583486345
5.95,246.718718181948,1252.53241363338,313.56977760899,219.993029894749,331.019027491607
5.96,246.666132086569,1250.80874298793,313.138258064211,219.517191403456,325.989017757316
5.97,246.613843379469,1249.10077002211,312.710668424658,219.046792968223,321.205163097052
5.98,246.561849760124,1247.40828365086,312.286955845242,218.581741198858,316.648385521636
5.99,246.51014895078,1245.73107660467,311.867068436103,218.121955498467,312.301608491379
6,246.458738696173,1244.06894534251,311.450955240814,217.676126438713,308.149495452156
