"Freq [GHz]","im(Zo(backport:1)) []","im(Zo(backport:2)) []","im(Zo(backport:3)) []","im(Zo(backport:4)) []","im(Zo(backport:6)) []"
3.58,0,1867.99354585215,467.647959467883,194.363347045019,84.5020146720228
3.59,0,1894.82026175819,474.363933291334,195.890068177237,84.8972139331463
3.6,0,1922.59869476506,481.318164613,197.440177035348,85.294651588677
3.61,0,1951.38937931521,488.52580782525,199.014344601081,85.6943551731057
3.62,0,1981.25840591604,496.003408235185,200.613269206026,86.096352684679
3.63,0,2012.27809582431,503.769070965148,202.237677987748,86.500672595633
3.64,0,2044.52777874019,511.842655640537,203.888328442004,86.9073438627019
3.65,0,2078.09469263932,520.246001653364,205.566010078725,87.3163959378988
3.66,0,2113.07502909089,529.003189846513,207.271546190443,87.7278587795503
3.67,0,2149.57515271841,538.140847792403,209.005795744093,88.1417628634448
3.68,0,2187.7130301778,547.688507521646,210.769655422852,88.5581391927877
3.69,0,2227.61991258979,557.679026700641,212.56407262104,88.977018847018
3.7,0,2269.44232635273,568.149087008034,214.389992771553,89.3984353756506
3.71,0,2313.34444147465,579.139787017872,216.248472834455,89.8224199651358
3.72,0,2359.51090509431,590.697351536131,218.140572028318,90.2490063725599
3.73,0,2408.15025223025,602.873985437785,220.067411179233,90.6782284362009
3.74,0,2459.49903814147,615.728908148311,222.030164328002,91.1101206038138
3.75,0,2513.82688003596,629.329615766143,224.030062061788,91.544717944901
3.76,0,2571.44265458818,643.753432523053,226.068395080373,91.9820561650942
3.77,0,2632.70217818115,659.08943341963,228.14651803852,92.4221716211695
3.78,0,2698.01780837128,675.440847805255,230.265853692561,92.8651013365484
3.79,0,2767.87056188873,692.928092926955,232.427897380621,93.3108830172681
3.8,0,2842.82556805774,711.692642437483,234.634221868845,93.7595550684279
3.81,0,2923.55200029314,731.902015901279,236.886482599561,94.2111566111254
3.82,0,3010.84910529963,753.756294734352,239.186423381448,94.6657274998991
3.83,0,3105.6806655816,777.496749240831,241.535882566399,95.1233083406941
3.84,0,3209.22132814739,803.417436081219,243.936799763133,95.5839405093698
3.85,0,3322.91995304597,831.881056247371,246.391223143569,96.0476661707692
3.86,0,3448.58790404417,863.341056669333,248.901317404895,96.5145282983691
3.87,0,3588.52478888548,898.373106315714,251.469372458065,96.9845706945332
3.88,0,3745.70200206948,937.721041493145,254.097812929249,97.4578380111085
3.89,0,3924.03835779943,982.365863083075,256.789208537577,97.9343757715295
3.9,0,4128.82794051829,1033.63283639148,259.546285482976,98.4142303929859
3.91,0,4367.43069049384,1093.3643572323,262.371938961803,98.8974492087587
3.92,0,4650.44055341773,1164.21235727318,265.269246906419,99.3840804921205
3.93,0,4993.77809984908,1250.16210991119,268.24148512493,99.8741734806995
3.94,0,5422.71895890591,1357.54057205056,271.292144004828,100.36777840162
3.95,0,5980.40706083639,1497.14724565656,274.424946975912,100.864946497452
3.96,0,6748.27124443542,1689.36426182928,277.643870958828,101.365730052997
3.97,0,7904.84330320816,1978.87717502434,280.953169077637,101.870182422944
3.98,0,9954.01691438677,2491.79738604965,284.357396405049,102.37835806043
3.99,0,15382.5196511522,3850.34531891851,287.861433361981,102.890312546542
4,0,0,0,291.470529848873,103.40610262079
4.01,0,0,0,295.190323758962,103.925786212597
4.02,0,0,0,299.026891300767,104.449422473846
4.03,0,0,0,302.986787946867,104.97707181252
4.04,0,0,0,307.077098545457,105.508795927488
4.05,0,0,0,311.305493722732,106.044657844477
4.06,0,0,0,315.680293792498,106.584721953291
4.07,0,0,0,320.21054140332,107.129054046324
4.08,0,0,0,324.906084375163,107.677721358471
4.09,0,0,0,329.777670460527,108.230792608603
4.1,0,0,0,334.837056114626,108.788338043457
4.11,0,0,0,340.097131791209,109.350429495053
4.12,0,0,0,345.57206681721,109.917140241926
4.13,0,0,0,351.277477569751,110.488545662999
4.14,0,0,0,357.230623521717,111.064722378191
4.15,0,0,0,363.450636791766,111.645748996537
4.16,0,0,0,369.958792247188,112.231705930878
4.17,0,0,0,376.778820972723,112.822676166232
4.18,0,0,0,383.937315652865,113.418741270061
4.19,0,0,0,391.46413522984,114.019990391871
4.2,0,0,0,399.392996119201,114.626510544829
4.21,0,0,0,407.762110386577,115.238393967014
4.22,0,0,0,416.61499346136,115.855728049088
4.23,0,0,0,426.001450668273,116.478612335847
4.24,0,0,0,435.978810028231,117.107142443704
4.25,0,0,0,446.613397346437,117.74141780921
4.26,0,0,0,457.982543180537,118.381540354586
4.27,0,0,0,470.176948583769,119.027614551725
4.28,0,0,0,483.303864879088,119.679747502709
4.29,0,0,0,497.491185982979,120.338049025407
4.3,0,0,0,512.892859875794,121.002631742951
4.31,0,0,0,529.696142618965,121.673611176983
4.32,0,0,0,548.131485401134,122.351105844771
4.33,0,0,0,568.486264445532,123.035237360362
4.34,0,0,0,591.124254131144,123.726130539955
4.35,0,0,0,616.513917819563,124.423913511707
4.36,0,0,0,645.270661389482,125.128717830182
4.37,0,0,0,678.222002058755,125.840678595683
4.38,0,0,0,716.511957879872,126.559934578711
4.39,0,0,0,761.776007315983,127.286628349822
4.4,0,0,0,816.450965898801,128.020906415143
4.41,0,0,0,884.362967905663,128.762919357416
4.42,0,0,0,971.946644772874,129.512821984315
4.43,0,0,0,1091.09299560681,130.270773483769
4.44,0,0,0,1267.03638763593,131.036937583516
4.45,0,0,0,1566.94901209846,131.811482720494
4.46,0,0,0,2275.67666576218,132.59458221725
4.47,0,0,0,0,133.386414466482
4.48,0,0,0,0,134.1871631241
4.49,0,0,0,0,134.997017309028
4.5,0,0,0,0,135.816171833585
4.51,0,0,0,0,136.644827378793
4.52,0,0,0,0,137.483190784047
4.53,0,0,0,0,138.331475255915
4.54,0,0,0,0,139.18990063411
4.55,0,0,0,0,140.058693661077
4.56,0,0,0,0,140.938088079425
4.57,0,0,0,0,141.828325806035
4.58,0,0,0,0,142.729655544077
4.59,0,0,0,0,143.642334761813
4.6,0,0,0,0,144.566629238002
4.61,0,0,0,0,145.502813574618
4.62,0,0,0,0,146.451171601304
4.63,0,0,0,0,147.411996708464
4.64,0,0,0,0,148.385592374567
4.65,0,0,0,0,149.372272532533
4.66,0,0,0,0,150.372362081151
4.67,0,0,0,0,151.386197355198
4.68,0,0,0,0,152.414126686845
4.69,0,0,0,0,153.456510930035
4.7,0,0,0,0,154.51372406299
4.71,0,0,0,0,155.58615380838
4.72,0,0,0,0,156.674202290266
4.73,0,0,0,0,157.778286610048
4.74,0,0,0,0,158.898840233413
4.75,0,0,0,0,160.036312428268
4.76,0,0,0,0,161.191170490033
4.77,0,0,0,0,162.363899901763
4.78,0,0,0,0,163.555005427047
4.79,0,0,0,0,164.765012107409
4.8,0,0,0,0,165.99446632491
4.81,0,0,0,0,167.243936933981
4.82,0,0,0,0,168.514016473889
4.83,0,0,0,0,169.805322419938
4.84,0,0,0,0,171.118498630793
4.85,0,0,0,0,172.454216734447
4.86,0,0,0,0,173.813177731263
4.87,0,0,0,0,175.196113688039
4.88,0,0,0,0,176.603789505607
4.89,0,0,0,0,178.037004851003
4.9,0,0,0,0,179.496596224457
4.91,0,0,0,0,180.983439174396
4.92,0,0,0,0,182.498450739095
4.93,0,0,0,0,184.042591720732
4.94,0,0,0,0,185.616870006766
4.95,0,0,0,0,187.222342989408
4.96,0,0,0,0,188.860121029256
4.97,0,0,0,0,190.531370898214
4.98,0,0,0,0,192.237319490185
4.99,0,0,0,0,193.979257958348
5,0,0,0,0,195.75854595159
5.01,0,0,0,0,197.576616534004
5.02,0,0,0,0,199.434981262777
5.03,0,0,0,0,201.335235943359
5.04,0,0,0,0,203.279066625047
5.05,0,0,0,0,205.268256384558
5.06,0,0,0,0,207.304692607218
5.07,0,0,0,0,209.390374992
5.08,0,0,0,0,211.527424279619
5.09,0,0,0,0,213.718091986987
5.1,0,0,0,0,215.964770755192
5.11,0,0,0,0,218.27000613607
5.12,0,0,0,0,220.636509378814
5.13,0,0,0,0,223.067171583518
5.14,0,0,0,0,225.565079234268
5.15,0,0,0,0,228.133531806492
5.16,0,0,0,0,230.776060862706
5.17,0,0,0,0,233.496451591238
5.18,0,0,0,0,236.298766749557
5.19,0,0,0,0,239.187373440089
