"Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []","re(Gamma(1:4)) []","re(Gamma(1:6)) []"
3.21,0,49.9251301863943,49.9252430078519,65.1722631834351,97.5396407390756
3.22,0,49.6414587059958,49.6415721721595,64.9552129299997,97.394749929545
3.23,0,49.355266886753,49.3553810108611,64.7367564354683,97.249191569093
3.24,0,49.066510627301,49.0666254230276,64.5168794150923,97.102962655722
3.25,0,48.775144382035,48.7752598635107,64.2955672951944,96.9560601554532
3.26,0,48.481121093788,48.4812372756222,64.0728052049623,96.8084810018731
3.27,0,48.1843921224041,48.1845090197071,63.84857796794,96.6602220956744
3.28,0,47.8849071688934,47.8850247973015,63.6228700931988,96.5112803041853
3.29,0,47.5826141948334,47.5827325705344,63.3956657661773,96.3616524608926
3.3,0,47.2774593366443,47.2775784764056,63.166948839172,96.2113353649535
3.31,0,46.969386814335,46.9695067355329,62.9367028214629,96.0603257806995
3.32,0,46.6583388342758,46.6584595549267,62.7049108690587,95.9086204371307
3.33,0,46.3442554855122,46.3443770243065,62.4715557740396,95.7562160273992
3.34,0,46.0270746290881,46.0271970054258,62.236619953482,95.6031092082844
3.35,0,45.7067317797908,45.7068550138202,62.0000854379431,95.4492965996568
3.36,0,45.3831599796743,45.3832840923324,61.7619338594835,95.2947747839315
3.37,0,45.0562896626494,45.0564146757063,61.5221464392058,95.1395403055117
3.38,0,44.7260485093563,44.7261744454625,61.2807039742839,94.9835896702205
3.39,0,44.3923612914531,44.3924881741895,61.0375868244594,94.826919344722
3.4,0,44.055149704358,44.0552775582907,60.7927748979754,94.6695257559311
3.41,0,43.7143321873818,43.7144610381212,60.5462476369204,94.5114052904107
3.42,0,43.3698237300663,43.3699536043291,60.297984001951,94.3525542937578
3.43,0,43.021535663411,43.0216665890896,60.047962456362,94.192969069977
3.44,0,42.6693754345216,42.6695074407567,59.7961609494678,94.0326458808411
3.45,0,42.3132463630367,42.3133794802977,59.5425568992595,93.871580945239
3.46,0,41.9530473775005,41.9531816376713,59.2871271742975,93.7097704385103
3.47,0,41.5886727296201,41.5888081660931,59.0298480747999,93.547210491767
3.48,0,41.2200116840957,41.2201483318731,58.770695312881,93.3838971911993
3.49,0,40.8469481814172,40.8470860772225,58.5096439918916,93.2198265773698
3.5,0,40.4693604706902,40.4694996530881,58.2466685848142,93.0549946444906
3.51,0,40.0871207091607,40.0872612186897,57.9817429116556,92.8893973396874
3.52,0,39.7000945246717,39.7002364039876,57.7148401157829,92.7230305622469
3.53,0,39.3081405367614,39.3082838307962,57.4459326391372,92.5558901628486
3.54,0,38.9111098315197,38.911254587654,57.1749921962662,92.387971942781
3.55,0,38.5088453846161,38.5089916528713,56.9019897470974,92.2192716531407
3.56,0,38.101181426103,38.1013292593509,56.6268954683844,92.0497849940146
3.57,0,37.6879427396384,37.6880921938336,56.3496787237406,91.8795076136447
3.58,0,37.268943887647,37.2690950220853,56.070308032176,91.7084351075738
3.59,0,36.8439883526169,36.8441412302202,55.7887510350454,91.5365630177761
3.6,0,36.4128675831477,36.4130222707823,55.5049744613071,91.3638868317638
3.61,0,35.9753599314976,35.975516500329,55.2189440909849,91.1904019816796
3.62,0,35.5312294671411,35.5313879930306,54.9306247167201,91.0161038433648
3.63,0,35.0802246481596,35.0803852121095,54.6399801032893,90.8409877354097
3.64,0,34.6220768290544,34.6222395177086,54.346972944953,90.6650489181826
3.65,0,34.1564985796467,34.1566634858566,54.0515648204927,90.4882825928358
3.66,0,33.6831817849615,33.6833490084255,53.7537161457817,90.310683900291
3.67,0,33.2017954901386,33.2019651381305,53.4533861237199,90.1322479202006
3.68,0,32.7119834472338,32.7121556354322,53.1505326913533,89.9529696698871
3.69,0,32.2133613118545,32.2135361652943,52.8451124639791,89.7728441032565
3.7,0,31.7055134264839,31.7056910806497,52.5370806760279,89.5918661096891
3.71,0,31.1879891134183,31.1881697155082,52.2263911184873,89.4100305129028
3.72,0,30.6602983826532,30.6604820930456,51.9129960726198,89.2273320697914
3.73,0,30.1219069376563,30.1220939316222,51.5968462397009,89.0437654692362
3.74,0,29.5722303332233,29.5724208029349,51.2778906664825,88.8593253308887
3.75,0,29.0106271023995,29.0108212593012,50.9560766660562,88.6740062039264
3.76,0,28.4363906208333,28.4365886984579,50.6313497337681,88.4878025657781
3.77,0,27.8487394127569,27.8489416700937,50.3036534577972,88.3007088208194
3.78,0,27.2468055171894,27.2470122427429,49.9729294239797,88.1127192990379
3.79,0,26.6296204174285,26.6298319341479,49.6391171144173,87.923828254665
3.8,0,25.9960978789891,25.9963145503093,49.3021537993676,87.7340298647764
3.81,0,25.3450128223388,25.3452350596549,48.9619744218616,87.5433182278581
3.82,0,24.6749750489831,24.6752033209977,48.618511474442,87.3516873623369
3.83,0,23.9843961992841,23.9846310438347,48.2716948673521,87.1591312050764
3.84,0,23.2714476793646,23.271689718584,47.9214517874398,86.9656436098354
3.85,0,22.5340063418706,22.5342563019085,47.567706546963,86.7712183456875
3.86,0,21.7695832576188,21.7698419947192,47.2103804213958,86.5758490954024
3.87,0,20.9752286585441,20.9754971941753,46.8493914752446,86.3795294537873
3.88,0,20.1474025129521,20.1476820821539,46.4846543747657,86.1822529259848
3.89,0,19.281794196404,19.2820863159855,46.1160801863623,85.9840129257293
3.9,0,18.3730644019697,18.3733709695192,45.7435761592974,85.7848027735591
3.91,0,17.414463881448,17.4147873240789,45.3670454912018,85.584615694982
3.92,0,16.3972484798659,16.3975919870908,44.9863870746805,85.3834448185945
3.93,0,15.3097391165087,15.3101070237997,44.6014952231209,85.181283174152
3.94,0,14.1357212265073,14.136119688874,44.2122593735724,84.978123690589
3.95,0,12.8515083178736,12.8519465961005,43.8185637643098,84.7739591939877
3.96,0,11.4199853838829,11.4204785991105,43.4202870843872,84.5687824054929
3.97,0,9.7766566353076,9.77723274906283,43.0173020921492,84.3625859391722
3.98,0,7.78858860347563,7.78931176027976,42.6094751992641,84.1553622998185
3.99,0,5.06491446882926,5.0660264351066,42.1966660163936,83.9471038806942
4,0,0,0,41.7787268560725,83.7378029612152
4.01,0,0,0,41.3555021877674,83.527451704571
4.02,0,0,0,40.9268280393611,83.3160421552802
4.03,0,0,0,40.4925313384742,83.1035662366803
4.04,0,0,0,40.0524291860565,82.8900157483462
4.05,0,0,0,39.6063280535285,82.6753823634382
4.06,0,0,0,39.1540228933916,82.4596576259762
4.07,0,0,0,38.6952961516207,82.2428329480364
4.08,0,0,0,38.2299166682312,82.0248996068687
4.09,0,0,0,37.7576384501343,81.8058487419332
4.1,0,0,0,37.2781992976472,81.5856713518501
4.11,0,0,0,36.7913192627285,81.3643582912629
4.12,0,0,0,36.2966989130115,81.1419002676102
4.13,0,0,0,35.7940173708468,80.9182878378027
