"Freq [GHz]","im(S(1,1)) []","im(S(2,1)) []","im(S(1,2)) []","im(S(2,2)) []"
2.70285714285714,-0.273469788247171,-0.276642815461028,-0.276642815461031,-0.271497439545582
2.70857142857143,-0.275056898437191,-0.277559778207438,-0.277559778207441,-0.273117626852176
2.71428571428571,-0.276674090746653,-0.278455491580292,-0.278455491580295,-0.2747668248911
2.72,-0.278316682180677,-0.279327970579779,-0.279327970579782,-0.276440212737246
2.72571428571429,-0.279979932292975,-0.280175334258957,-0.28017533425896,-0.278132915029386
2.73142857142857,-0.281659063141263,-0.280995815305314,-0.280995815305317,-0.279840022277289
2.73714285714286,-0.283349278936887,-0.281787768810545,-0.281787768810548,-0.281556610857817
2.74285714285714,-0.285045785274764,-0.282549680157698,-0.282549680157701,-0.28327776258511
2.74857142857143,-0.286743807840088,-0.283280171966658,-0.28328017196666,-0.284998583750067
2.75428571428571,-0.288438610498977,-0.283978010050989,-0.283978010050992,-0.286714223535261
2.76,-0.290125512692483,-0.284642108352404,-0.284642108352407,-0.288419891723551
2.76571428571429,-0.291799906065631,-0.285271532831965,-0.285271532831968,-0.290110875630734
2.77142857142857,-0.293457270275518,-0.285865504310217,-0.28586550431022,-0.291782556205431
2.77714285714286,-0.295093187935566,-0.286423400261396,-0.2864234002614,-0.293430423251882
2.78285714285714,-0.296703358664591,-0.286944755578676,-0.286944755578679,-0.295050089743384
2.78857142857143,-0.298283612221598,-0.287429262339338,-0.287429262339341,-0.296637305206307
2.79428571428571,-0.299829920717731,-0.287876768608798,-0.287876768608801,-0.298187968164964
2.8,-0.301338409907009,-0.288287276332182,-0.288287276332185,-0.299698137648315
2.80571428571429,-0.30280536956621,-0.288660938370012,-0.288660938370015,-0.301164043767862
2.81142857142857,-0.304227262982187,-0.288998054741681,-0.288998054741684,-0.302582097384419
2.81714285714286,-0.305600735571075,-0.289299068145644,-0.289299068145647,-0.303948898887577
2.82285714285714,-0.306922622659301,-0.28956455882949,-0.289564558829494,-0.305261246117179
