"Freq [GHz]","im(Z(1,1)) []","im(Z(1,2)) []"
3.97142857142857,-60.5908829586044,-60.9326851920481
3.97714285714286,-60.4547022519837,-60.7189328968646
3.98285714285714,-60.3287184639888,-60.5139858146244
3.98857142857143,-60.2136048102566,-60.3187348765258
3.99428571428571,-60.1100311360202,-60.1340659524289
4,-60.0186647748748,-59.9608602727797
4.00571428571429,-59.9108742045056,-59.7738595902033
4.01142857142857,-59.810029651362,-59.5941631834014
4.01714285714286,-59.7163377164164,-59.4222440612316
4.02285714285714,-59.6299601292619,-59.258528751956
4.02857142857143,-59.551015776809,-59.1033987491103
4.03428571428571,-59.4795827411797,-58.9571919625606
4.04,-59.4157003314828,-58.820204157333
4.04571428571429,-59.359371096477,-58.6926903654714
4.05142857142857,-59.3105628072104,-58.5748662584684
4.05714285714286,-59.2692104007331,-58.4669094702133
4.06285714285714,-59.2352178777855,-58.3689608624955
4.06857142857143,-59.2084601490046,-58.2811257271447
4.07428571428571,-59.1887848257308,-58.2034749207861
4.08,-59.1760139527974,-58.1360459299306
4.08571428571429,-59.1699456819589,-58.0788438657914
4.09142857142857,-59.1703558855876,-58.0318423896592
4.09714285714286,-59.1769997112775,-57.9949845711195
4.10285714285714,-59.1896130787568,-57.9681836826433
4.10857142857143,-59.207914121191,-57.9513239352269
4.11428571428571,-59.2316045735926,-57.9442611608743
4.12,-59.260371111469,-57.9468234486154
4.12571428571429,-59.2938866432856,-57.9588117416717
4.13142857142857,-59.3318115606209,-57.9800004041076
4.13714285714286,-59.3737949501025,-58.0101377660082
4.14285714285714,-59.4194757714458,-58.0489466568106
4.14857142857143,-59.4684840059622,-58.0961249368543
4.15428571428571,-59.520441780011,-58.1513460376626
4.16,-59.5749644678377,-58.2142595216825
4.16571428571429,-59.6316617782496,-58.2844916724359
4.17142857142857,-59.690138829458,-58.3616461260593
4.17714285714286,-59.7499972162768,-58.4453045551302
4.18285714285714,-59.8108360737746,-58.5350274155317
4.18857142857143,-59.8722531411958,-58.6303547667466
4.19428571428571,-59.9338458297263,-58.7308071754732
4.2,-59.9952122974723,-58.8358867119419
4.20571428571429,-60.0559525345405,-58.9450780473993
4.21142857142857,-60.115669460866,-59.0578496604498
4.21714285714286,-60.173970038921,-59.1736551587575
4.22285714285714,-60.2304664029673,-59.2919347214465
4.22857142857143,-60.2847770059964,-59.4121166661187
4.23428571428571,-60.3365277848842,-59.533619142887
4.24,-60.3853533436517,-59.6558519561513
4.24571428571429,-60.4308981540076,-59.7782185130678
4.25142857142857,-60.4728177715894,-59.9001178957424
4.25714285714286,-60.510780065499,-60.0209470521934
4.26285714285714,-60.5444664578911,-60.1401030991066
4.26857142857143,-60.5735731694659,-60.2569857272792
4.27428571428571,-60.5978124657724,-60.370999698591
4.28,-60.6169138983582,-60.4815574212564
4.28571428571429,-60.6306255338066,-60.5880815881221
4.29142857142857,-60.638715162832,-60.6900078608743
4.29714285714286,-60.640971480704,-60.7867875812677
4.30285714285714,-60.6372052295271,-60.8778904889181
4.30857142857143,-60.6272502920803,-60.9628074238311
4.31428571428571,-60.6109647264375,-61.0410529907667
4.32,-60.5882317299967,-61.1121681617146
4.32571428571429,-60.5589605213411,-61.1757227922924
4.33142857142857,-60.5230871281177,-61.2313180277095
4.33714285714286,-60.4805750692698,-61.2785885742137
4.34285714285714,-60.4314159201564,-61.3172048124959
4.34857142857143,-60.3756297496792,-61.3468747305792
4.35428571428571,-60.3132654191682,-61.3673456550203
4.36,-60.2444007338297,-61.3784057610481
4.36571428571429,-60.1691424386953,-61.3798853443332
4.37142857142857,-60.0876260524087,-61.3716578394695
4.37714285714286,-60.0000155338073,-61.3536405729623
4.38285714285714,-59.9065027779681,-61.3257952413966
4.38857142857143,-59.8073069403525,-61.2881281086365
4.39428571428572,-59.7026735895974,-61.2406899190534
4.4,-59.5928736916315,-61.1835755271386
4.40571428571429,-59.4782024298473,-61.1169232471615
4.41142857142857,-59.3589778681264,-61.040913929766
